"VarName","TimeString","VarValue","Validity","Time_ms","Checksum"
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:10:39",0,1,45247382390.3125,dNiuS0
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:10:39",0,1,45247382390.3125,uo/pz4
"C6_ME02_FX01_VALUE","17/Nov/2023 09:10:41",-0.2893519,1,45247382413.6343,XNeQZ3
"C6_ME02_FX02_VALUE","17/Nov/2023 09:10:41",5.425347E-03,1,45247382413.6343,omv53u
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:10:41",0,1,45247382413.6343,ISrQC5
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:10:41",0,1,45247382413.6343,XcfZLv
"C6_ME02_FX01_VALUE","17/Nov/2023 09:10:43",-0.2893519,1,45247382436.9444,R80l6L
"C6_ME02_FX02_VALUE","17/Nov/2023 09:10:43",5.425347E-03,1,45247382436.9444,CD5e07
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:10:43",0,1,45247382436.9444,DNEUyI
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:10:43",0,1,45247382436.9444,thwcKs
"C6_ME02_FX01_VALUE","17/Nov/2023 09:10:45",-0.2893519,1,45247382460.2662,kP+oPv
"C6_ME02_FX02_VALUE","17/Nov/2023 09:10:45",5.425347E-03,1,45247382460.2662,LIPai4
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:10:45",0,1,45247382460.2662,KEJwEw
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:10:45",0,1,45247382460.2662,P8MWz0
"C6_ME02_FX01_VALUE","17/Nov/2023 09:10:47",-0.2893519,1,45247382483.588,BSlxkD
"C6_ME02_FX02_VALUE","17/Nov/2023 09:10:47",5.425347E-03,1,45247382483.588,zAmiCe
"PID_WashPump_Output_Output_Ref","17/Nov/2023 09:10:47",0,1,45247382483.588,Id0x3F
"PID_AirFlow_Output_Output_Ref","17/Nov/2023 09:10:47",0,1,45247382483.588,toWGfs
"C6_ME02_FX01_VALUE","17/Nov/2023 09:10:49",-0.8680556,1,45247382506.8981,viw2wr
